Date,BOVESPA OPEN,DJIA Open,NIKKEI225,ShanghaiComposite Open,Stoxx Europe 50,CAC40 Open,TelAvivOpen,IPCMexicoOpen,MervalAregentinaOpen,CanadaTSXOpen,ASXAustraliaOpen,DAXOpenGermany,RTSIRussianOpen,OMXCopenhagenOpen,KopsiKoreaOpen,TaiwanTWIIIndex,IBEXSpainIndex,ATX Austria,SwissMarketIndex
5/5/00,14967,10732.20996,17973.7,1984.985962,5316.94,6492.060059,544.01,6430.330078,510.950012,9399.099609,3053.699951,7547.910156,226.87,284.15,753.179993,8695.129883,11667.90039,1127.900024,7508.200195
5/8/00,15220,10478.88965,18403.08,1983.072998,5306.32,6520.299805,550.49,6504.47998,493.859985,9486.299805,3111.100098,7388.680176,226.866,290.14,759.150024,8427.339844,11597.5,1128.439941,7475.899902
5/9/00,14897,10409.7002,18439.36,1993.453979,5351.71,6507.899902,550.23,6323.100098,492.609985,9450.900391,3104.699951,7391.620117,226.866,294.01,768.01001,8472.820312,11484.2002,1125.01001,7496.5
5/10/00,14570,10571.30957,#N/A,1999.152954,5285.09,6563.830078,550.37,6192.330078,486.769989,9343,3083.399902,7532.970215,227.46,289.83,757.359985,8639.94043,11304,1125.670044,7513.299805
5/11/00,14447,10607.54004,#N/A,2016.219971,5182.73,6467.75,543.51,6085.549805,475.910004,9433.799805,3040.699951,7407.890137,225.38,288.12,762.799988,8534.179688,11071.7002,1115.969971,7537.799805
5/12/00,14496,10533.08984,#N/A,2037.083984,5065.85,6363.390137,537.65,6119.359863,483.279999,9459.5,3000.199951,7273.560059,225.38,288.83,737.210022,8885.240234,10832.29981,1103.040039,7595.399902
5/15/00,14469,10369.26953,18199.96,2054.479004,5171.77,6204.100098,542.27,6259.009766,458.23999,9377.5,3034.399902,7111.279785,225.385,284.39,729.099976,9026.389648,11036.29981,1113.459961,7551.100098
5/16/00,15074,10549.05957,17844.54,2072.792969,5238.42,6418.910156,540.86,6345.029785,457.390015,9232.400391,3052.600098,7269.870117,225.385,283.64,752.52002,9030.679688,11102.59961,1109.27002,7731.100098
5/17/00,15361,10606.96973,17701.47,2087.2771,5182.68,6421.790039,541.27,6365.439941,460.480011,9152.299805,3091.800049,7266.080078,227.15,282.84,705.619995,8903.320312,11058.5,1109.660034,7740.600098
5/18/00,14876,10816.00977,16882.46,2081.138916,5335.02,6461.049805,545.49,6185.459961,475.329987,9225.5,3070.5,7203.580078,222.93,278.89,712.130005,8811.44043,11220.7002,1107.449951,7761.299805
5/19/00,14594,10930.63965,17357.86,2098.887939,5230.74,6534.540039,551.8,6111.330078,474.790009,9239.5,3046.800049,7370.180176,219.52,283.5,715.549988,8496.05957,10905.29981,1095.449951,7755.100098
5/22/00,14330,10771.79981,17313.69,2092.591064,5247.13,6423.100098,552.5,5863.640137,462.149994,9418.299805,3033.5,7214.5,215.27,283.15,674.030029,8609.799805,10889.59961,1096.219971,7715.600098
5/23/00,13891,10764.21973,17551.25,2104.068115,5063.46,6425.27002,559.04,5655.950195,454.660004,9513.799805,3005.100098,7182.459961,220.01,287.95,669.210022,8397.009766,10544.90039,1093.709961,7812.899902
5/24/00,13592,10624.79004,17404.03,2097.281006,4945.17,6184.040039,557.55,5590.870117,427.660004,9587.299805,3016.399902,6983.459961,209.8,286.24,696.690002,8597.589844,10330.90039,1095.900024,7729.899902
5/25/00,14187,10539.12012,17031.63,2119.156006,4984.7,6153.959961,557.4,5801.330078,429.429993,9503.900391,3010.600098,6918.930176,204.62,284.87,690.539978,8668.700195,10380.09961,1113.579956,7770.299805
5/26/00,14204,10420.90039,16858.17,2119.01001,4903.92,6003.899902,547.48,5666.200195,427.480011,9293.099609,3012.899902,6920.140137,190.5,284.87,627.400024,8969.650391,10382.5,1108.329956,7825
5/29/00,14541,10529.87012,16386.01,2041.155029,5018.79,6136.319824,548.19,5652.609863,445.600006,9247.599609,3000.600098,6846.370117,184.78,280.54,668.650024,8936.429688,10545.09961,1096.280029,7890.100098
5/30/00,14815,10322.88965,16318.73,2052.775879,5007.97,6052.22998,546.68,5730.509766,459.980011,8947,3033.800049,6969.009766,171.82,285.93,708.039978,8979.780273,10437.09961,1099.390015,7894.200195
5/31/00,15251,10302.30957,16044.44,2081.496094,5084.69,6185.990234,552.49,5998.779785,456.299988,9231.400391,3050.699951,6956.140137,167.05,285.4,730.549988,8967.410156,10558.90039,1064.209961,7848.799805
6/1/00,14967,10528.28027,16247.82,2067.070068,5156.07,6247.220215,553.09,5961.240234,472.529999,9108.299805,3079.5,7024.600098,177.59,290.62,759.219971,8943.629883,10648.5,1076.040039,7865.399902
6/2/00,15518,10532.26953,16008.14,2073.089111,5200.89,6380.209961,552.91,6178.319824,464.609985,9020.900391,3088.399902,7127.259766,185.53,288.95,778.47998,9151.30957,10688.5,1065.48999,7770.200195
6/5/00,16222,10660.08984,16245.44,2084.483887,5275.2,6428.459961,551.32,6626.040039,473.079987,9163,3141.699951,7117.569824,184.11,289.46,798.22998,9113.070312,10875.5,1082.72998,7776.5
6/6/00,16018,10793.11035,16228.9,2094.993896,5428.27,6565.350098,545,6554.689941,500.01001,9329.799805,3148.100098,7286.189941,188.58,293.64,825.559998,9073.830078,11141.5,1081.819946,7873.700195
6/7/00,15955,10822.61035,16332.45,2092.996094,5379.6,6678.77002,539.8,6249.330078,493.940002,9397.900391,3150.399902,7456.220215,190.21,290.77,800.280029,8905.450195,11004.2002,1084.06,7771.600098
6/8/00,16286,10733.48047,16694.3,2072.531006,5325.87,6612.569824,539.66,6239.129883,484.670013,9808.200195,3111,7404.779785,194.75,290.77,851.059998,8978.650391,10768.59961,1084.140015,7768.299805
6/9/00,16421,10818.78027,16800.06,2074.565918,5272.37,6551.569824,540.51,6365.470215,495.100006,9719.900391,3121,7363.660156,202.25,297.81,833.179993,8943.209961,10738.59961,1092.619995,7839.299805
6/12/00,16351,10678.46973,17201.79,2072.282959,5286.74,6533.669922,538.42,6399.180176,488.040009,9629.700195,3141.800049,7293.740234,200.95,297.81,814.049988,8858.620117,10799.59961,1080.910034,7805.200195
6/13/00,16100,10615.12012,17170.08,2045.170044,5292.97,6523.459961,522.74,6405.600098,489.859985,9551.599609,3113.899902,7246.459961,194.8,296.74,814.619995,8786.370117,10873.2002,1082.859985,7805.5
6/14/00,16365,10562.30957,17144.96,2057.383057,5294.65,6510.819824,525.45,6540.339844,488.220001,9586.599609,3119.199951,7251.290039,193.92,295.57,759.580017,8861.030273,10791.29981,1074.469971,7830.600098
